what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,org.eclipse.jst.server.websphere.core,1413614508938
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.305.v200805140145,org.eclipse.jst.server.generic.ui,1413614508938
stopped,bundle,org.eclipse.jst.server.generic.core,1.0.305.v200805140145,org.eclipse.jst.server.generic.core,1413614508938
stopped,bundle,org.eclipse.datatools.connectivity.oda.template.ui,3.0.6.v200805152355,org.eclipse.datatools.connectivity.oda.template.ui,1413614508938
stopped,bundle,org.eclipse.mylyn.pde.ui,3.1.1.v20090411-0400-e3x,org.eclipse.mylyn.pde.ui,1413614508943
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.0.v20080730_r341,org.eclipse.pde.api.tools.ui,1413614508943
stopped,bundle,org.eclipse.ajdt.mylyn.ui,1.6.4.20090313172428,org.eclipse.ajdt.mylyn.ui,1413614508943
stopped,bundle,org.springframework.ide.eclipse.ajdt.ui.xref,2.2.4.RELEASE,org.springframework.ide.eclipse.ajdt.ui.xref,1413614508943
stopped,bundle,org.eclipse.ajdt.ui,1.6.4.20090313172428,org.eclipse.ajdt.ui,1413614508948
stopped,bundle,org.eclipse.pde.runtime,3.4.0.v20080723-1000,org.eclipse.pde.runtime,1413614508948
stopped,bundle,org.eclipse.pde.ui.templates,3.4.0.v20080514-1500,org.eclipse.pde.ui.templates,1413614508948
stopped,bundle,org.eclipse.rap.ui.launch,1.1.2.20090218-1359,org.eclipse.rap.ui.launch,1413614508948
stopped,bundle,org.springframework.ide.eclipse.beans.ui.refactoring,2.2.4.RELEASE,org.springframework.ide.eclipse.beans.ui.refactoring,1413614508948
stopped,bundle,org.eclipse.pde.ui,3.4.0.v20090202,org.eclipse.pde.ui,1413614508953
stopped,bundle,org.eclipse.mylyn.ide.ant,3.1.1.v20090411-0400-e3x,org.eclipse.mylyn.ide.ant,1413614508953
stopped,bundle,org.eclipse.ant.ui,3.3.1.v20090120_r342,org.eclipse.ant.ui,1413614508953
stopped,bundle,org.eclipse.jst.jsf.apache.trinidad.tagsupport,1.0.101.v20090128,org.eclipse.jst.jsf.apache.trinidad.tagsupport,1413614508953
stopped,bundle,org.eclipse.jst.jsf.facesconfig.ui,1.1.3.v20090128,org.eclipse.jst.jsf.facesconfig.ui,1413614508953
stopped,bundle,org.eclipse.jst.pagedesigner.jsf.ui,1.1.1.v20090129,org.eclipse.jst.pagedesigner.jsf.ui,1413614508953
stopped,bundle,org.eclipse.jst.pagedesigner,1.1.1.v200902051421,org.eclipse.jst.pagedesigner,1413614508953
stopped,bundle,org.eclipse.wst.common.snippets,1.1.200.v200805140415,org.eclipse.wst.common.snippets,1413614508953
stopped,bundle,org.eclipse.wst.wsdl.ui,1.2.104.v200901201856,org.eclipse.wst.wsdl.ui,1413614508953
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.105.v200811282340,org.eclipse.wst.xsd.ui,1413614508953
stopped,bundle,org.tigris.subversion.subclipse.graph,1.0.5,org.tigris.subversion.subclipse.graph,1413614508953
stopped,bundle,org.eclipse.datatools.sqltools.sqlbuilder,1.0.0.v200901280650,org.eclipse.datatools.sqltools.sqlbuilder,1413614508953
