what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.1.v200807241900,org.eclipse.wst.jsdt.manipulation,1413614573816
started,bundle,org.eclipse.wst.jsdt.core,1.0.104.v200901281939,org.eclipse.wst.jsdt.core,1413614574118
started,bundle,org.eclipse.wst.jsdt.ui,1.0.104.v200901290004,org.eclipse.wst.jsdt.ui,1413614574199
started,bundle,org.springframework.ide.eclipse.beans.ui.refactoring,2.2.4.RELEASE,org.springframework.ide.eclipse.beans.ui.refactoring,1413614574380
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1413614575331
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1413614575351
started,bundle,org.maven.ide.eclipse.editor,0.9.8.200905041414,org.maven.ide.eclipse.editor,1413614578658
started,bundle,org.maven.ide.eclipse.refactoring,0.9.8.200905041414,org.maven.ide.eclipse.refactoring,1413614578664
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1413614580201
closed,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1413614581963
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1413614582089
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1413614582103
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1413614584705
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1413614586194
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1413614586207
opened,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1413614589263
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1413614589432
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1413614592921
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1413614594389
closed,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1413614595977
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1413614596098
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1413614596116
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1413614601329
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1413614607127
opened,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1413614607635
